id	CFB1	CFB2	CFB3	TFB1	TFB2	TFB3	logFC	logCPM	LR	PValue	FDR	sig	up/down
gnl|Amel_4.5|GB49432-RA	574	257	246	66	110	78	-0.739321254	3.831000892	1.912608409	0.1666738	0.463555347	0	-
gnl|Amel_4.5|GB49433-RA	428	168	200	80	96	34	-0.561073954	3.469534293	0.92154967	0.337068408	0.648041149	0	-
gnl|Amel_4.5|GB49435-RA	18	6	5	3	4	6	0.282921621	-0.664328676	0.096518071	0.756048787	0.904062788	0	+
gnl|Amel_4.5|GB49436-RA	1	3	4	0	0	0	-4.249050956	-2.077966449	3.965268162	0.046448123	0.244069161	0	-
gnl|Amel_4.5|GB49437-RA	10	12	6	0	0	0	-5.823972493	-1.129061733	9.947300092	0.001610855	0.031537016	1	-
gnl|Amel_4.5|GB49438-RA	66	45	61	47	56	60	1.159278178	2.286672086	3.353038675	0.067081077	0.292814223	0	+
gnl|Amel_4.5|GB49439-RA	40	30	10	4	21	6	-0.129935636	0.504035578	0.025946897	0.872030074	0.955854247	0	-
gnl|Amel_4.5|GB49440-RA	117	314	109	18	30	49	-1.32796425	2.89915606	3.451162818	0.063207287	0.283545588	0	-
gnl|Amel_4.5|GB49441-RA	2125	2032	502	298	569	630	-0.311686617	6.115846487	0.315186178	0.574515039	0.806585936	0	-
gnl|Amel_4.5|GB49442-RA	52	30	22	9	3	11	-0.732524499	0.650148964	0.850628441	0.356374616	0.665261662	0	-
gnl|Amel_4.5|GB49443-RA	88	108	44	16	5	32	-0.81867522	1.810750586	1.06794454	0.301410188	0.613666575	0	-
gnl|Amel_4.5|GB49444-RA	53	103	82	31	12	19	-0.715745587	1.948130254	0.89342676	0.344550375	0.655346614	0	-
gnl|Amel_4.5|GB49445-RA	240	530	408	140	39	109	-0.797960829	4.195592991	1.343988474	0.246331816	0.557487793	0	-
gnl|Amel_4.5|GB49446-RA	2220	1816	1531	760	544	334	-0.4488708	6.406031516	0.69600157	0.404130495	0.701600693	0	-
gnl|Amel_4.5|GB49447-RA	793	718	579	209	170	208	-0.541764556	4.975220419	1.107015642	0.292731603	0.60474403	0	-
gnl|Amel_4.5|GB49448-RA	5754	2549	2045	615	1556	1169	-0.291443853	7.221454274	0.331567152	0.564737746	0.801010417	0	-
gnl|Amel_4.5|GB49449-RA	296	658	613	163	76	124	-0.931794022	4.580391902	2.083551996	0.148893349	0.437649477	0	-
gnl|Amel_4.5|GB49450-RA	938	401	306	119	267	174	-0.19571287	4.608039691	0.151324488	0.69727283	0.871867528	0	-
gnl|Amel_4.5|GB49451-RA	1135	230	178	49	449	94	-0.009297031	4.444514797	0.000184977	0.989148592	0.995984108	0	-
gnl|Amel_4.5|GB49452-RA	935	240	308	126	403	221	0.381876796	4.706705397	0.509751645	0.475246387	0.746571281	0	+
gnl|Amel_4.5|GB49453-RA	296	35	32	10	43	8	-1.055997568	1.991700945	1.685352091	0.194214801	0.497265657	0	-
gnl|Amel_4.5|GB49454-RA	11	4	1	7	3	0	0.908842236	-1.153814548	0.540713129	0.462137333	0.73852036	0	+
gnl|Amel_4.5|GB49456-RA	5509	3175	2361	1139	1600	927	-0.257836132	7.381546512	0.267805991	0.604807344	0.824639619	0	-
gnl|Amel_4.5|GB49457-RA	199	41	32	4	29	10	-1.231634615	1.642450853	2.467572537	0.116217287	0.384041926	0	-
